analysis,tweet
negatif,"['kena', 'sekat', 'tes', 'sekat', 'udah', 'macet', 'mau', 'ngetesnya', 'pun', 'pake', 'genose', 'jg', 'butuh', 'buat', 'ngetes', 'mudik', 'yg', 'lewat']"
positif,"['selamat', 'siang', 'kak', 'tumpang', 'ka', 'tawang', 'alun', 'ini', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['min', 'sya', 'udh', 'tes', 'genose', 'hasil', 'lihat', 'barcode', 'tp', 'blum', 'gmna', 'solusi', 'trimksh']"
positif,"['dear', 'min', 'buka', 'layan', 'genose', 'jam', 'brp', 'yaa', 'thanks']"
negatif,"['papa', 'gila', 'banget', 'mesen', 'tiket', 'kereta', 'buat', 'genose']"
negatif,"['langgar', 'prokes', 'tumpang', 'kapal', 'merak', 'desa', 'tes', 'genose']"
positif,"['tarif', 'ribu', 'calon', 'tumpang', 'informasi', 'kena', 'layan', 'periksa', 'genose', 'sila', 'cek', 'link', 'trims']"
positif,"['selamat', 'siang', 'min', 'mau', 'kait', 'update', 'protokol', 'wajib', 'hasil', 'tes', 'rapid', 'antigen', 'genose', 'itu', 'laku', 'tumpang', 'ka', 'tawang', 'alun', 'jadwal', 'berangkat', 'besok', 'tanggal', 'mei', 'terima', 'kasih']"
negatif,"['asa', 'pcr', 'swab', 'genose', 'fasilitas', 'sehat', 'ndak', 'padah', 'klo', 'orang', 'jakarta', 'bawa', 'petaka', 'ane', 'bolak', 'jakarta', 'bekas', 'jogja', 'alhamdulillah', 'fine']"
positif,"['min', 'layan', 'genose', 'stasiun', 'lempuyangan', 'ini', 'buka', 'jam', 'ya']"
negatif,"['aku', 'cerita', 'kmrn', 'wlwk', 'genose', 'divisi', 'ku', 'suruh', 'ngehandle', 'jg']"
positif,"['min', 'berangkat', 'hasil', 'genose', 'keluar', 'gimana', 'hasil', 'saran', 'min', 'yg', 'mau', 'brgkat', 'baik', 'kyk', 'wktu', 'rapid']"
positif,"['untuk', 'terbang', 'bandara', 'soekarno', 'hatta', 'antigen', 'antibody', 'genose']"
positif,"['min', 'stasiun', 'kroya', 'sedia', 'layan', 'genose', 'makasih']"
positif,"['ahli', 'epidemiologi', 'ui', 'saran', 'semua', 'dagang', 'pasar', 'tanah', 'abang', 'segera', 'laku', 'tes', 'swab', 'tes', 'rapid', 'antigen', 'tes', 'genose', 'massal', 'jika', 'yang', 'indikasi', 'positif', 'covid', 'segera', 'laku', 'karantina', 'hari']"
positif,"['selamat', 'pagi', 'kak', 'mohon', 'maaf', 'ketidaknyamanannya', 'kece', 'mohon', 'info', 'layan', 'genose', 'stasiun', 'serta', 'kendala', 'maksud', 'apa', 'trims']"
positif,"['akurasi', 'lebih', 'murah', 'genose', 'ganti', 'antigen']"
negatif,"['nganterin', 'mas', 'eksel', 'tes', 'genose', 'nyata', 'positif', 'udh', 'nginep', 'rumah', 'semalem']"
negatif,"['hampir', 'weekend', 'bandung', 'tegal', 'pp', 'berangkat', 'relatif', 'aman', 'sepi', 'jam', 'berangkat', 'kereta', 'malam', 'dini', 'tapi', 'tes', 'genose', 'swab', 'tempat', 'tes', 'genose', 'ruang', 'tunggu', 'ramai', 'min', 'antri', 'duduk', 'rapat', 'lain', 'cek', 'dm', 'min']"
positif,"['tanya', 'mas', 'genose', 'juanda', 'antri', 'gak', 'waktu', 'mas', 'test']"
positif,"['selamat', 'siang', 'jalan', 'ka', 'joglosemarkerto', 'perlu', 'lampir', 'surat', 'genose', 'test', 'rapid', 'test', 'antigen', 'pcr', 'swab', 'info', 'lengkap', 'syarat', 'untuk', 'jalan', 'ka', 'lokal', 'komuter', 'aglomerasi', 'sila', 'cek', 'link', 'trims']"
positif,"['saat', 'tumpang', 'ka', 'lokal', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['labuh', 'bakauheni', 'sedia', 'cek', 'genose', 'min']"
positif,"['tes', 'genose', 'laku', 'tumpang', 'kapal', 'mobil', 'merak']"
positif,"['genose', 'bisa', 'deteksi', 'varian']"
positif,"['kantong', 'udara', 'genose', 'sedia', 'hari', 'target', 'orang', 'tes', 'genose', 'laku', 'test', 'hasil', 'langsung', 'terima', 'jangka', 'menit']"
positif,"['badan', 'kelola', 'transportasi', 'jabodetabek', 'bptj', 'menteri', 'hubung', 'sedia', 'tes', 'genose', 'terminal', 'baranangsiang', 'infobogor', 'beritahariini', 'beritabogor', 'tesgenose', 'covid', 'welovebogor']"
positif,"['selamat', 'siang', 'min', 'untuk', 'ka', 'lokal', 'wajib', 'tes', 'genose', 'terimakasih', 'min']"
positif,"['selamat', 'pagi', 'kak', 'tumpang', 'ka', 'lokal', 'ini', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['min', 'terbang', 'kota', 'sblm', 'tgl', 'wajib', 'tes', 'rapid', 'antigen', 'genose', 'salah', 'saja', 'min']"
positif,"['hasil', 'negatif', 'tes', 'genose', 'bandar', 'udara', 'berangkat', 'seluruh', 'tumpang', 'wajib', 'isi', 'hac', 'electronic', 'health', 'alert', 'card', 'indonesia', 'lengkap', 'kamu', 'cek', 'moga', 'informasi', 'bantu', 'terima', 'kasih', 'by', 'py']"
positif,"['selamat', 'pagi', 'kak', 'sila', 'langsung', 'ke', 'stasiun', 'layan', 'genose', 'stasiun', 'pasar', 'senen', 'wib', 'antre', 'wib', 'kondisional', 'posisi', 'dekat', 'pintu', 'samping', 'musala', 'trims']"
positif,"['alhamdulilahh', 'labuh', 'bakauheni', 'bsa', 'genose', 'rapid', 'antigen']"
negatif,"['bisnis', 'swab', 'ribu', 'usai', 'karna', 'tes', 'genose', 'murah', 'vaksin', 'dijadiin', 'ladang', 'bisnis', 'peras', 'rakyat', 'wakil', 'rakyat', 'para', 'jabat', 'vaksin', 'gratis', 'top']"
positif,"['puluh', 'unjung', 'warkop', 'tes', 'genose']"
positif,"['untuk', 'layan', 'genose', 'test', 'st', 'kiaracondong', 'pukul', 'wib', 'trims']"
positif,"['genose', 'murah', 'sih', 'mik']"
positif,"['mohon', 'maaf', 'ini', 'sedia', 'layan', 'genose', 'stasiun', 'cilacap', 'alternatif', 'sila', 'laku', 'periksa', 'genose', 'stasiun', 'purwokerto', 'wib', 'jumat', 'minggu', 'dengan', 'pukul', 'wib', 'antre', 'kondisional']"
positif,"['selamat', 'pagi', 'kak', 'ini', 'laku', 'surat', 'terang', 'hasil', 'genose', 'pcr', 'rapid', 'test', 'antigen', 'jam', 'ambil', 'sampel', 'laku', 'informasi', 'lengkap', 'sila', 'cek', 'link']"
positif,"['surat', 'terang', 'hasil', 'negatif', 'covid', 'dasar', 'pcr', 'genose', 'rapid', 'test', 'antigen', 'sampel', 'ambil', 'kurun', 'maksimal', 'jam', 'berangkat', 'ini', 'sesuai', 'adendum', 'surat', 'edar', 'tugas', 'tangan', 'covid', 'nomor', 'trims']"
positif,"['selamat', 'pagi', 'layan', 'periksa', 'genose', 'stasiun', 'bekas', 'pukul', 'wib', 'antre', 'kondisional', 'lokasi', 'di', 'parkir', 'utara', 'stasiun', 'bekas', 'trims']"
negatif,"['genose', 'kereta', 'pake', 'genose', 'yg', 'kadang', 'adil', 'rata', 'uang', 'kuasa', 'mudik']"
positif,"['selamat', 'pagi', 'kak', 'layan', 'genose', 'stasiun', 'purwokerto', 'operasi', 'pukul', 'wib', 'khusus', 'jumat', 'minggu', 'pukul', 'wib', 'anter', 'sifat', 'kondisional', 'sila', 'laku', 'periksa', 'genose', 'sudah', 'masuk', 'jam']"
positif,"['jaga', 'jaga', 'bawa', 'genose', 'nder']"
negatif,"['genose', 'belum', 'promosi', 'murah', 'nyata', 'patok', 'harga', 'percaya', 'govt', 'sama', 'musyrik']"
negatif,"['berita', 'kan', 'metode', 'tes', 'gimana', 'pakai', 'genose', 'rapid', 'tingkat', 'slah', 'apalagi', 'asal', 'acak', 'gak', 'puasa', 'jam', 'atau', 'pcr', 'valid', 'mahal', 'eman', 'buat', 'tes', 'acak']"
positif,"['new', 'post', 'genose', 'bisa', 'deteksi', 'varian', 'has', 'been', 'published', 'on', 'baca', 'pesan']"
positif,"['tes', 'genose', 'st', 'bekas', 'jam', 'dampai', 'jam', 'ya']"
positif,"['selamat', 'pagi', 'kak', 'railmin', 'bantu', 'kece', 'jadwal', 'layan', 'rencana', 'laku', 'periksa', 'genose', 'stasiun']"
positif,"['halo', 'min', 'tgl', 'mei', 'terbang', 'juanda', 'palembang', 'transit', 'soetta', 'rencana', 'mau', 'ambil', 'tes', 'genose', 'juanda', 'itu', 'hasil', 'genosenya', 'dipake', 'saat', 'transit', 'di', 'soetta', 'tq']"
positif,"['min', 'sdh', 'vaksin', 'kali', 'harus', 'tes', 'rapid', 'genose', 'stasiun']"
negatif,"['cape', 'cape', 'genose', 'periksa', 'bgst']"
positif,"['kak', 'kmren', 'pas', 'pulang', 'harus', 'st', 'senen', 'tes', 'genose', 'di', 'stasiun', 'bekas']"
positif,"['layan', 'sedia', 'dari', 'wib', 'wib']"
positif,"['layan', 'genose', 'stasiun', 'yogyakarta', 'pukul', 'wib', 'antre', 'kondisional', 'lokasi', 'ruang', 'tunggu', 'stasiun', 'belah', 'selatan', 'trims']"
positif,"['halo', 'kai', 'jadwal', 'genose', 'rapidtest', 'stasiun', 'madiun', 'buka', 'jam', 'brp', 'tutup', 'jam', 'brp']"
positif,"['selamat', 'pagi', 'calon', 'tumpang', 'ka', 'lokal', 'ini', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['mei', 'antigen', 'genose', 'laku', 'atau', 'ke']"
positif,"['tes', 'genose', 'terap', 'gilimanuk', 'padangbai', 'susul', 'berita', 'nusabali', 'pelabuhangilimanuk', 'pandemi', 'genose', 'ptkimiafarma', 'covid']"
negatif,"['baru', 'sadar', 'lama', 'lapor', 'dasar', 'hasil', 'pcr', 'jadi', 'gunung', 'es', 'pantes', 'stabil', 'gelombang', 'pcr', 'mahal', 'yg', 'murah', 'spt', 'genose', 'pakai', 'bangsa', 'doyan', 'yg', 'mahal', 'high', 'cost']"
positif,"['maaf', 'min', 'tanya', 'genose', 'bisa', 'langsung', 'laku', 'waktu', 'berangkat', 'stasiun', 'purwokerto', 'maksud', 'layan', 'test', 'sedia', 'jadwal', 'berangkat', 'kereta', 'malam']"
positif,"['min', 'tanya', 'jam', 'operasional', 'layan', 'genose']"
positif,"['selamat', 'pagi', 'saat', 'tumpang', 'ka', 'lokal', 'wajib', 'lampir', 'surat', 'terang', 'hasil', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'info', 'lengkap', 'kait', 'sila', 'cek', 'link', 'trims']"
positif,"['selamat', 'pagi', 'kak', 'ini', 'layan', 'genose', 'sedia', 'stasiun', 'pasar', 'senen', 'gambir', 'bekas', 'bandung', 'kiaracondong', 'tasikmalaya', 'banjar', 'cirebon', 'cirebon', 'prujakan', 'jatibarang', 'semarang', 'tawang', 'semarang', 'poncol', 'tegal', 'kalong', 'cepu', 'purwokerto', 'kutoarjo']"
negatif,"['cek', 'dm', 'min', 'hasil', 'tes', 'genose', 'yg', 'barenagan', 'udh']"
positif,"['min', 'izin', 'jika', 'berangkat', 'kereta', 'stasiun', 'surabaya', 'pasar', 'turi', 'saya', 'laku', 'genose', 'stasiun', 'sidoarjo', 'tidak', 'apa', 'min']"
negatif,"['empat', 'booth', 'genose', 'buka', 'astagaaaa', 'ngantri', 'bgt', 'iniii', 'jelek', 'bgt', 'siihhh', 'manajemen', 'nyaaa', 'anjg']"
positif,"['putus', 'tes', 'genose', 'syukur', 'negatif', 'sampek', 'kantor', 'dpt', 'kabar', 'rekan', 'cov', 'kemaren', 'buruk', 'trus', 'kantor', 'poliklinik', 'panggiling', 'yg', 'ruang', 'beliau', 'introgasi', 'untung', 'ibu', 'baru', 'bgt', 'tes', 'genose', 'aman']"
positif,"['wajib', 'surat', 'terang', 'hasil', 'negatif', 'tes', 'pcr', 'rapid', 'test', 'antigen', 'tes', 'genose', 'sampel', 'ambil', 'stasiun', 'kurun', 'maksimal', 'jam', 'berangkat', 'trims']"
positif,"['min', 'stasiun', 'sidareja', 'sudah', 'sedia', 'genose']"
positif,"['tarif', 'rapid', 'test', 'antigen', 'stasiun', 'ribu', 'calon', 'tumpang', 'tarif', 'genose', 'ribu', 'calon', 'tumpang', 'trims']"
negatif,"['bisabisanya', 'aplikasi', 'daftar', 'genose', 'ada', 'android', 'alhasil', 'antri', 'panjang', 'bandara', 'lame', 'ass']"
positif,"['yg', 'tes', 'genose', 'tawang', 'bisa', 'ya', 'dateng', 'lgsg', 'sana', 'biasa', 'tutup', 'jam', 'dips']"
positif,"['kak', 'sila', 'laku', 'periksa', 'pasuk', 'jam', 'jadwal', 'berangkat', 'ka', 'tetap', 'sesuai', 'operasional', 'layan', 'genose', 'stasiun', 'trims']"
positif,"['genose', 'udah', 'sebar', 'stasiun', 'aja', 'min', 'weleri', 'semarang', 'blm', 'ya']"
positif,"['antre', 'pukul', 'wib', 'kondisional', 'layan', 'genose', 'operasi', 'pukul', 'wib', 'antre', 'pukul', 'wib', 'kondisional', 'trims']"
negatif,"['sampe', 'genose', 'jelas', 'kaji', 'ilmiah', 'jurnal', 'bom', 'liat', 'batang', 'hidung', 'ya', 'gitu', 'anu', 'semua', 'indo', 'mah', 'emang', 'beda']"
positif,"['selamat', 'pagi', 'kak', 'hasil', 'periksa', 'genose', 'rapid', 'test', 'antigen', 'keluar', 'hari', 'sama', 'dapat', 'tunggu', 'menit', 'ambil', 'sampel', 'tetap', 'sesuai', 'jumlah', 'antre', 'periksa', 'trims']"
positif,"['selamat', 'pagi', 'kak', 'layan', 'genose', 'test', 'st', 'yogyakarta', 'tugu', 'posisi', 'di', 'ruang', 'tunggu', 'stasiun', 'belah', 'selatan', 'trims']"
positif,"['layan', 'rapid', 'test', 'antigen', 'pukul', 'wib', 'antre', 'kondisional', 'lokasi', 'layan', 'genose', 'rapid', 'test', 'antigen', 'parkir', 'utara', 'stasiun', 'bandung', 'trims']"
positif,"['sila', 'pilih', 'salah', 'ya', 'genose', 'rapid', 'test', 'antigen', 'saat', 'berangkat', 'surat', 'terang', 'masih', 'laku', 'layan', 'genose', 'stasiun', 'bandung', 'pukul', 'wib', 'antre', 'kondisional']"
positif,"['ini', 'langsung', 'cek', 'genose', 'min']"
negatif,"['cikampek', 'sedia', 'mim', 'tinggal', 'karawang', 'sekitar', 'tes', 'genose', 'repot', 'ke', 'bekas', 'min', 'mohon', 'maaf', 'masuk', 'min', 'terima', 'kasih']"
positif,"['min', 'hasil', 'genose', 'swap', 'antigen', 'st', 'gmr', 'psekeluarnya', 'lama', 'terima', 'kasih']"
positif,"['tau', 'bawa', 'terang', 'rapid', 'genose', 'kalo', 'ketat', 'tetep', 'lanjut', 'jalan']"
positif,"['lokasi', 'genose', 'untuk', 'yogyakarta']"
positif,"['selamat', 'pagi', 'tumpang', 'ka', 'jarak', 'wajib', 'lampir', 'salah', 'dari', 'hasil', 'negatif', 'genose', 'pcr', 'rapid', 'test', 'antigen', 'info', 'lengkap', 'cek', 'link', 'rencana', 'ikut', 'periksa', 'stasiun', 'kak']"
negatif,"['testing', 'pake', 'genose', 'lebih', 'tes', 'pas', 'jam', 'buka', 'puasa', 'genose', 'false', 'positivenya', 'banget', 'untuk', 'orang', 'baru', 'makan', 'ngerokok']"
positif,"['periode', 'pra', 'tiada', 'mudik', 'pada', 'tanggal', 'april', 'mei', 'pasca', 'tiada', 'mudik', 'tanggal', 'mei', 'wajib', 'surat', 'terang', 'hasil', 'negatif', 'tes', 'pcr', 'rapid', 'test', 'antigen', 'tes', 'genose']"
positif,"['mudik', 'penuh', 'labuh', 'merak', 'jelang', 'sahur', 'minggu', 'kerumun', 'antre', 'tes', 'genose', 'via']"
